发生时间,开关机状态,加热中,保温中,实际温度,热水量,水流量,加热剩余时间,当前设置温度
20141022201724,关,关,关,36°C,25%,26,0分钟,50°C
20141022201730,关,关,关,36°C,25%,27,0分钟,50°C
20141022201746,关,关,关,35°C,25%,27,0分钟,50°C
20141022201748,关,关,关,35°C,25%,28,0分钟,50°C
20141022201750,关,关,关,35°C,25%,27,0分钟,50°C
20141022201752,关,关,关,35°C,25%,21,0分钟,50°C
20141022201842,开,开,关,34°C,25%,0,22分钟,50°C
20141022201935,开,开,关,34°C,25%,0,21分钟,50°C
20141022201937,开,开,关,34°C,25%,0,24分钟,50°C
20141022201941,开,开,关,33°C,25%,0,24分钟,50°C
20141022202005,开,开,关,33°C,25%,0,23分钟,50°C
20141022202007,开,开,关,33°C,25%,0,22分钟,50°C
20141022202047,开,开,关,34°C,25%,0,22分钟,50°C
20141022202126,开,开,关,34°C,25%,0,21分钟,50°C
20141022202140,开,开,关,35°C,25%,0,21分钟,50°C
20141022202230,开,开,关,35°C,25%,0,20分钟,50°C
20141022202233,开,开,关,35°C,25%,0,19分钟,50°C
20141022202313,开,开,关,36°C,25%,0,19分钟,50°C
20141022202315,开,开,关,36°C,25%,0,18分钟,50°C
20141022202339,开,开,关,37°C,25%,0,18分钟,50°C
20141022202403,开,开,关,37°C,25%,0,17分钟,50°C
20141022202444,开,开,关,38°C,25%,0,16分钟,50°C
20141022202446,开,开,关,38°C,25%,0,15分钟,50°C
20141022202534,开,开,关,39°C,25%,0,15分钟,50°C
20141022202544,开,开,关,40°C,25%,0,14分钟,50°C
20141022202609,开,开,关,40°C,25%,0,13分钟,50°C
20141022202611,开,开,关,40°C,25%,0,12分钟,50°C
20141022202655,开,开,关,41°C,25%,0,12分钟,50°C
20141022202723,开,开,关,41°C,25%,0,11分钟,50°C
20141022202743,开,开,关,42°C,25%,0,11分钟,50°C
20141022202822,开,开,关,42°C,25%,0,10分钟,50°C
20141022202824,开,开,关,42°C,25%,0,9分钟,50°C
20141022202904,开,开,关,43°C,25%,0,9分钟,50°C
20141022202906,开,开,关,43°C,25%,0,8分钟,50°C
20141022202937,开,开,关,44°C,25%,0,8分钟,50°C
20141022203025,开,开,关,44°C,25%,0,7分钟,50°C
20141022203029,开,开,关,45°C,25%,0,7分钟,50°C
20141022203112,开,开,关,45°C,25%,0,6分钟,50°C
20141022203114,开,开,关,45°C,25%,0,5分钟,50°C
20141022203154,开,开,关,46°C,25%,0,5分钟,50°C
20141022203226,开,开,关,46°C,25%,0,4分钟,50°C
20141022203240,开,开,关,47°C,25%,0,4分钟,50°C
20141022203325,开,开,关,47°C,25%,0,3分钟,50°C
20141022203327,开,开,关,47°C,25%,0,2分钟,50°C
20141022203417,开,开,关,48°C,25%,0,2分钟,50°C
20141022203427,开,开,关,48°C,25%,0,1分钟,50°C
20141022203452,开,开,关,49°C,25%,0,1分钟,50°C
20141022203514,开,开,关,49°C,25%,0,0分钟,50°C
20141022203516,开,关,开,50°C,100%,0,0分钟,50°C
20141022214208,开,关,开,50°C,50%,0,0分钟,50°C
20141022215330,开,关,开,50°C,50%,0,0分钟,50°C
20141022215805,关,关,关,50°C,50%,46,0分钟,50°C
20141022215807,关,关,关,50°C,50%,48,0分钟,50°C
20141022215815,关,关,关,50°C,50%,50,0分钟,50°C
20141022215825,关,关,关,50°C,50%,51,0分钟,50°C
20141022215827,关,关,关,50°C,50%,50,0分钟,50°C
20141022215835,关,关,关,50°C,50%,51,0分钟,50°C
20141022215841,关,关,关,50°C,50%,50,0分钟,50°C
20141022215852,关,关,关,50°C,50%,51,0分钟,50°C
20141022215855,关,关,关,50°C,50%,50,0分钟,50°C
20141022215858,关,关,关,50°C,50%,48,0分钟,50°C
20141022215900,关,关,关,50°C,50%,40,0分钟,50°C
20141022215902,关,关,关,50°C,50%,38,0分钟,50°C
20141022215908,关,关,关,50°C,50%,36,0分钟,50°C
20141022215910,关,关,关,50°C,50%,32,0分钟,50°C
20141022215922,关,关,关,49°C,50%,32,0分钟,50°C
20141022215924,关,关,关,49°C,50%,33,0分钟,50°C
20141022215930,关,关,关,49°C,50%,32,0分钟,50°C
20141022215932,关,关,关,49°C,50%,33,0分钟,50°C
20141022215936,关,关,关,49°C,50%,32,0分钟,50°C
20141022215938,关,关,关,49°C,50%,33,0分钟,50°C
20141022215942,关,关,关,49°C,50%,32,0分钟,50°C
20141022215956,关,关,关,49°C,50%,33,0分钟,50°C
20141022215958,关,关,关,49°C,50%,32,0分钟,50°C
20141022220000,关,关,关,49°C,50%,33,0分钟,50°C
20141022220002,关,关,关,49°C,50%,32,0分钟,50°C
20141022220012,关,关,关,49°C,50%,33,0分钟,50°C
20141022220014,关,关,关,49°C,50%,32,0分钟,50°C
20141022220016,关,关,关,49°C,50%,33,0分钟,50°C
20141022220018,关,关,关,49°C,50%,32,0分钟,50°C
20141022220020,关,关,关,49°C,50%,33,0分钟,50°C
20141022220022,关,关,关,49°C,50%,32,0分钟,50°C
20141022220026,关,关,关,49°C,50%,33,0分钟,50°C
20141022220028,关,关,关,49°C,50%,32,0分钟,50°C
20141022220036,关,关,关,49°C,50%,33,0分钟,50°C
20141022220041,关,关,关,49°C,50%,32,0分钟,50°C
20141022220043,关,关,关,49°C,50%,33,0分钟,50°C
20141022220051,关,关,关,49°C,50%,32,0分钟,50°C
20141022220053,关,关,关,49°C,50%,33,0分钟,50°C
20141022220055,关,关,关,49°C,50%,32,0分钟,50°C
20141022220059,关,关,关,49°C,50%,33,0分钟,50°C
20141022220103,关,关,关,49°C,50%,32,0分钟,50°C
20141022220111,关,关,关,49°C,50%,33,0分钟,50°C
20141022220121,关,关,关,49°C,50%,32,0分钟,50°C
20141022220123,关,关,关,49°C,50%,33,0分钟,50°C
20141022220129,关,关,关,48°C,50%,33,0分钟,50°C
20141022220131,关,关,关,48°C,50%,32,0分钟,50°C
20141022220133,关,关,关,48°C,50%,33,0分钟,50°C
20141022220137,关,关,关,48°C,50%,32,0分钟,50°C
20141022220141,关,关,关,48°C,50%,33,0分钟,50°C
20141022220145,关,关,关,48°C,50%,32,0分钟,50°C
20141022220201,关,关,关,48°C,50%,33,0分钟,50°C
20141022220205,关,关,关,48°C,50%,32,0分钟,50°C
20141022220217,关,关,关,48°C,50%,33,0分钟,50°C
20141022220220,关,关,关,48°C,50%,32,0分钟,50°C
20141022220236,关,关,关,48°C,50%,33,0分钟,50°C
20141022220240,关,关,关,47°C,50%,33,0分钟,50°C
20141022220242,关,关,关,47°C,50%,32,0分钟,50°C
20141022220244,关,关,关,47°C,50%,33,0分钟,50°C
20141022220246,关,关,关,47°C,50%,35,0分钟,50°C
20141022220304,关,关,关,47°C,50%,33,0分钟,50°C
20141022220306,关,关,关,47°C,50%,35,0分钟,50°C
20141022220320,关,关,关,47°C,50%,33,0分钟,50°C
20141022220322,关,关,关,47°C,50%,35,0分钟,50°C
20141022220328,关,关,关,47°C,50%,33,0分钟,50°C
20141022220330,关,关,关,47°C,50%,32,0分钟,50°C
20141022220332,关,关,关,47°C,50%,33,0分钟,50°C
20141022220542,关,关,关,46°C,50%,30,0分钟,50°C
20141022220544,关,关,关,46°C,50%,31,0分钟,50°C
20141022220548,关,关,关,46°C,50%,32,0分钟,50°C
20141022220556,关,关,关,46°C,50%,31,0分钟,50°C
20141022220600,关,关,关,46°C,50%,32,0分钟,50°C
20141022220606,关,关,关,46°C,50%,31,0分钟,50°C
20141022220611,关,关,关,46°C,50%,32,0分钟,50°C
20141022220612,关,关,关,46°C,50%,31,0分钟,50°C
20141022220614,关,关,关,46°C,50%,32,0分钟,50°C
20141022220616,关,关,关,45°C,50%,32,0分钟,50°C
20141022220620,关,关,关,45°C,50%,31,0分钟,50°C
20141022220624,关,关,关,45°C,50%,32,0分钟,50°C
20141022220626,关,关,关,45°C,50%,31,0分钟,50°C
20141022220630,关,关,关,45°C,50%,32,0分钟,50°C
20141022220632,关,关,关,45°C,50%,31,0分钟,50°C
20141022220640,关,关,关,45°C,50%,32,0分钟,50°C
20141022220644,关,关,关,45°C,50%,31,0分钟,50°C
20141022220648,关,关,关,45°C,50%,32,0分钟,50°C
20141022220650,关,关,关,45°C,50%,31,0分钟,50°C
20141022220656,关,关,关,45°C,50%,32,0分钟,50°C
20141022220702,关,关,关,44°C,50%,32,0分钟,50°C
20141022220704,关,关,关,44°C,25%,32,0分钟,50°C
20141022220706,关,关,关,44°C,25%,31,0分钟,50°C
20141022220712,关,关,关,44°C,25%,32,0分钟,50°C
20141022220714,关,关,关,44°C,25%,31,0分钟,50°C
20141022220720,关,关,关,44°C,25%,32,0分钟,50°C
20141022220723,关,关,关,44°C,25%,31,0分钟,50°C
20141022220733,关,关,关,44°C,25%,32,0分钟,50°C
20141022220741,关,关,关,43°C,25%,32,0分钟,50°C
20141022220743,关,关,关,43°C,25%,31,0分钟,50°C
20141022220745,关,关,关,43°C,25%,32,0分钟,50°C
20141022220747,关,关,关,43°C,25%,33,0分钟,50°C
20141022220749,关,关,关,43°C,25%,32,0分钟,50°C
20141022220751,关,关,关,43°C,25%,33,0分钟,50°C
20141022220755,关,关,关,42°C,25%,32,0分钟,50°C
20141022220757,关,关,关,42°C,25%,31,0分钟,50°C
20141022220807,关,关,关,42°C,25%,32,0分钟,50°C
20141022220809,关,关,关,42°C,25%,31,0分钟,50°C
20141022220819,关,关,关,41°C,25%,32,0分钟,50°C
20141022220821,关,关,关,41°C,25%,31,0分钟,50°C
20141022220833,关,关,关,41°C,25%,32,0分钟,50°C
20141022220835,关,关,关,40°C,25%,31,0分钟,50°C
20141022220839,关,关,关,40°C,25%,32,0分钟,50°C
20141022220845,关,关,关,40°C,25%,31,0分钟,50°C
20141022220851,关,关,关,39°C,25%,32,0分钟,50°C
20141022220853,关,关,关,39°C,25%,31,0分钟,50°C
20141022220855,关,关,关,39°C,25%,32,0分钟,50°C
20141022220857,关,关,关,39°C,25%,31,0分钟,50°C
20141022220859,关,关,关,39°C,25%,32,0分钟,50°C
20141022220903,关,关,关,39°C,25%,31,0分钟,50°C
20141022220910,关,关,关,38°C,25%,32,0分钟,50°C
20141022220911,关,关,关,38°C,25%,33,0分钟,50°C
20141022220916,关,关,关,38°C,25%,32,0分钟,50°C
20141022220918,关,关,关,37°C,25%,32,0分钟,50°C
20141022220920,关,关,关,37°C,25%,31,0分钟,50°C
20141022220930,关,关,关,37°C,25%,32,0分钟,50°C
20141022220932,关,关,关,37°C,25%,31,0分钟,50°C
20141022220940,关,关,关,37°C,25%,32,0分钟,50°C
20141022220944,关,关,关,36°C,25%,32,0分钟,50°C
20141022220946,关,关,关,36°C,25%,18,0分钟,50°C
20141022223804,开,开,关,34°C,25%,0,22分钟,50°C
20141023064906,关,关,关,35°C,0%,8,0分钟,50°C
20141023065427,关,关,关,34°C,0%,8,0分钟,50°C
20141023073749,关,关,关,34°C,0%,10,0分钟,50°C
20141023073751,关,关,关,34°C,0%,12,0分钟,50°C
20141023161529,关,关,关,33°C,0%,36,0分钟,50°C
20141023161541,关,关,关,33°C,0%,38,0分钟,50°C
20141023161543,关,关,关,33°C,0%,17,0分钟,50°C
20141023161706,关,关,关,33°C,0%,11,0分钟,50°C
20141023194739,开,开,关,33°C,0%,0,23分钟,50°C
20141023194815,开,开,关,33°C,0%,0,22分钟,50°C
20141023194855,开,开,关,34°C,0%,0,22分钟,50°C
20141023194909,开,开,关,34°C,0%,0,21分钟,50°C
20141023194914,开,开,关,35°C,0%,0,21分钟,50°C
20141023194916,开,开,关,35°C,0%,0,22分钟,50°C
20141023194920,开,开,关,34°C,0%,0,22分钟,50°C
20141023194922,开,开,关,34°C,0%,0,21分钟,50°C
20141023194936,开,开,关,35°C,0%,0,21分钟,50°C
20141023195036,开,开,关,35°C,0%,0,20分钟,50°C
20141023195046,开,开,关,35°C,0%,0,19分钟,50°C
20141023195133,开,开,关,36°C,0%,0,19分钟,50°C
20141023195135,开,开,关,36°C,0%,0,18分钟,50°C
20141023195159,开,开,关,37°C,0%,0,18分钟,50°C
20141023195334,开,开,关,37°C,0%,0,17分钟,50°C
20141023195336,开,开,关,38°C,0%,0,15分钟,50°C
20141023195410,开,开,关,39°C,0%,0,15分钟,50°C
20141023195438,开,开,关,39°C,0%,0,14分钟,50°C
20141023195447,开,开,关,40°C,0%,0,14分钟,50°C
20141023195523,开,开,关,40°C,0%,0,13分钟,50°C
20141023195525,开,开,关,40°C,0%,0,12分钟,50°C
20141023195610,开,开,关,41°C,0%,0,12分钟,50°C
20141023195632,开,开,关,41°C,0%,0,11分钟,50°C
20141023195652,开,开,关,42°C,0%,0,11分钟,50°C
20141023195748,开,开,关,42°C,0%,0,10分钟,50°C
20141023195751,开,开,关,42°C,0%,0,9分钟,50°C
20141023195843,开,开,关,43°C,0%,0,9分钟,50°C
20141023195845,开,开,关,43°C,25%,0,8分钟,50°C
20141023195915,开,开,关,44°C,25%,0,8分钟,50°C
20141023195956,开,开,关,44°C,25%,0,7分钟,50°C
20141023200032,开,开,关,45°C,25%,0,6分钟,50°C
20141023200034,开,开,关,45°C,25%,0,5分钟,50°C
20141023200115,开,开,关,46°C,25%,0,5分钟,50°C
20141023200153,开,开,关,46°C,25%,0,4分钟,50°C
20141023200157,开,开,关,47°C,25%,0,4分钟,50°C
20141023200159,开,开,关,47°C,25%,0,5分钟,50°C
20141023200203,开,开,关,46°C,25%,0,5分钟,50°C
20141023200205,开,开,关,46°C,25%,0,4分钟,50°C
20141023200219,开,开,关,47°C,25%,0,4分钟,50°C
20141023200316,开,开,关,47°C,25%,0,3分钟,50°C
20141023200318,开,开,关,47°C,25%,0,2分钟,50°C
20141023200402,开,开,关,48°C,25%,0,2分钟,50°C
20141023200403,开,开,关,48°C,25%,0,1分钟,50°C
20141023200424,开,开,关,49°C,25%,0,1分钟,50°C
20141023200453,开,开,关,49°C,25%,0,0分钟,50°C
20141023200455,开,关,开,50°C,100%,0,0分钟,50°C
20141023200515,开,关,开,50°C,50%,0,0分钟,50°C
20141023201837,关,关,关,50°C,50%,43,0分钟,50°C
20141023201841,关,关,关,50°C,50%,60,0分钟,50°C
20141023201845,关,关,关,50°C,50%,61,0分钟,50°C
20141023201847,关,关,关,50°C,50%,62,0分钟,50°C
20141023201849,关,关,关,50°C,50%,61,0分钟,50°C
20141023201859,关,关,关,50°C,50%,62,0分钟,50°C
20141023201901,关,关,关,50°C,50%,61,0分钟,50°C
20141023201905,关,关,关,50°C,50%,62,0分钟,50°C
20141023201907,关,关,关,50°C,50%,36,0分钟,50°C
20141023202003,关,关,关,50°C,50%,66,0分钟,50°C
20141023202005,关,关,关,50°C,50%,61,0分钟,50°C
20141023202009,关,关,关,50°C,50%,62,0分钟,50°C
20141023202012,关,关,关,50°C,50%,31,0分钟,50°C
20141023202029,关,关,关,50°C,50%,51,0分钟,50°C
20141023202030,关,关,关,50°C,50%,30,0分钟,50°C
20141023202034,关,关,关,50°C,50%,20,0分钟,50°C
20141023202036,关,关,关,50°C,50%,22,0分钟,50°C
20141023202038,关,关,关,50°C,50%,17,0分钟,50°C
20141023202040,关,关,关,50°C,50%,18,0分钟,50°C
20141023202042,关,关,关,50°C,50%,13,0分钟,50°C
20141023202046,关,关,关,50°C,50%,15,0分钟,50°C
20141023202048,关,关,关,50°C,50%,25,0分钟,50°C
20141023202052,关,关,关,50°C,50%,23,0分钟,50°C
20141023202058,关,关,关,50°C,50%,22,0分钟,50°C
20141023202100,关,关,关,50°C,50%,18,0分钟,50°C
20141023202102,关,关,关,50°C,50%,17,0分钟,50°C
20141023202104,关,关,关,50°C,50%,18,0分钟,50°C
20141023202106,关,关,关,50°C,50%,17,0分钟,50°C
20141023202110,关,关,关,50°C,50%,18,0分钟,50°C
20141023202112,关,关,关,50°C,50%,17,0分钟,50°C
20141023202120,关,关,关,50°C,50%,18,0分钟,50°C
20141023202122,关,关,关,50°C,50%,17,0分钟,50°C
20141023202124,关,关,关,50°C,50%,18,0分钟,50°C
20141023202126,关,关,关,50°C,50%,17,0分钟,50°C
20141023202128,关,关,关,50°C,50%,18,0分钟,50°C
20141023202130,关,关,关,50°C,50%,17,0分钟,50°C
20141023202134,关,关,关,50°C,50%,18,0分钟,50°C
20141023202136,关,关,关,50°C,50%,17,0分钟,50°C
20141023202142,关,关,关,50°C,50%,18,0分钟,50°C
20141023202144,关,关,关,50°C,50%,21,0分钟,50°C
20141023202153,关,关,关,50°C,50%,20,0分钟,50°C
20141023202155,关,关,关,50°C,50%,21,0分钟,50°C
20141023202209,关,关,关,50°C,50%,20,0分钟,50°C
20141023202213,关,关,关,50°C,50%,21,0分钟,50°C
20141023202235,关,关,关,50°C,50%,20,0分钟,50°C
20141023202237,关,关,关,50°C,50%,21,0分钟,50°C
20141023202255,关,关,关,50°C,50%,20,0分钟,50°C
20141023202257,关,关,关,50°C,50%,21,0分钟,50°C
20141023202301,关,关,关,50°C,50%,20,0分钟,50°C
20141023202303,关,关,关,50°C,50%,18,0分钟,50°C
20141023202323,关,关,关,50°C,50%,20,0分钟,50°C
20141023202325,关,关,关,50°C,50%,21,0分钟,50°C
20141023202333,关,关,关,50°C,50%,20,0分钟,50°C
20141023202336,关,关,关,50°C,50%,21,0分钟,50°C
20141023202339,关,关,关,50°C,50%,20,0分钟,50°C
20141023202350,关,关,关,50°C,50%,21,0分钟,50°C
20141023202358,关,关,关,50°C,50%,20,0分钟,50°C
20141023202400,关,关,关,50°C,50%,21,0分钟,50°C
20141023202404,关,关,关,50°C,50%,20,0分钟,50°C
20141023202406,关,关,关,50°C,50%,21,0分钟,50°C
20141023202410,关,关,关,50°C,50%,20,0分钟,50°C
20141023202412,关,关,关,50°C,50%,18,0分钟,50°C
20141023202426,关,关,关,50°C,50%,20,0分钟,50°C
20141023202428,关,关,关,50°C,50%,21,0分钟,50°C
20141023202436,关,关,关,50°C,50%,20,0分钟,50°C
20141023202438,关,关,关,50°C,50%,21,0分钟,50°C
20141023202450,关,关,关,50°C,50%,20,0分钟,50°C
20141023213336,关,关,关,46°C,50%,37,0分钟,50°C
20141023213338,关,关,关,46°C,50%,63,0分钟,50°C
20141023213340,关,关,关,46°C,50%,65,0分钟,50°C
20141023213344,关,关,关,46°C,50%,66,0分钟,50°C
20141023213346,关,关,关,46°C,50%,67,0分钟,50°C
20141023213348,关,关,关,46°C,50%,66,0分钟,50°C
20141023213350,关,关,关,46°C,50%,67,0分钟,50°C
20141023213352,关,关,关,46°C,50%,66,0分钟,50°C
20141023213404,关,关,关,46°C,50%,67,0分钟,50°C
20141023213406,关,关,关,46°C,50%,68,0分钟,50°C
20141023213430,关,关,关,46°C,50%,67,0分钟,50°C
20141023213434,关,关,关,46°C,50%,68,0分钟,50°C
20141023213436,关,关,关,46°C,50%,67,0分钟,50°C
20141023213440,关,关,关,46°C,50%,68,0分钟,50°C
20141023213442,关,关,关,46°C,50%,67,0分钟,50°C
20141023213444,关,关,关,45°C,50%,68,0分钟,50°C
20141023213446,关,关,关,45°C,50%,67,0分钟,50°C
20141023213450,关,关,关,45°C,50%,68,0分钟,50°C
20141023213452,关,关,关,45°C,50%,10,0分钟,50°C
20141023214649,关,关,关,42°C,25%,30,0分钟,50°C
20141023214651,关,关,关,42°C,25%,28,0分钟,50°C
20141023214653,关,关,关,42°C,25%,30,0分钟,50°C
20141023214655,关,关,关,42°C,25%,28,0分钟,50°C
20141023214657,关,关,关,42°C,25%,31,0分钟,50°C
20141023214701,关,关,关,42°C,25%,30,0分钟,50°C
20141023214703,关,关,关,42°C,25%,31,0分钟,50°C
20141023214711,关,关,关,42°C,25%,30,0分钟,50°C
20141023214713,关,关,关,42°C,25%,31,0分钟,50°C
20141023214715,关,关,关,42°C,25%,30,0分钟,50°C
20141023214717,关,关,关,42°C,25%,28,0分钟,50°C
20141023214732,关,关,关,42°C,25%,30,0分钟,50°C
20141023214734,关,关,关,42°C,25%,31,0分钟,50°C
20141023214738,关,关,关,42°C,25%,30,0分钟,50°C
20141023214742,关,关,关,42°C,25%,31,0分钟,50°C
20141023214744,关,关,关,42°C,25%,30,0分钟,50°C
20141023214746,关,关,关,41°C,25%,31,0分钟,50°C
20141023214750,关,关,关,41°C,25%,30,0分钟,50°C
20141023214804,关,关,关,41°C,25%,31,0分钟,50°C
20141023214806,关,关,关,41°C,25%,30,0分钟,50°C
20141023214808,关,关,关,41°C,25%,31,0分钟,50°C
20141023214810,关,关,关,41°C,25%,30,0分钟,50°C
20141023214814,关,关,关,41°C,25%,31,0分钟,50°C
20141023214818,关,关,关,41°C,25%,30,0分钟,50°C
20141023214822,关,关,关,41°C,25%,31,0分钟,50°C
20141023214824,关,关,关,41°C,25%,30,0分钟,50°C
20141023214830,关,关,关,41°C,25%,31,0分钟,50°C
20141023214834,关,关,关,41°C,25%,30,0分钟,50°C
20141023214836,关,关,关,41°C,25%,31,0分钟,50°C
20141023214838,关,关,关,41°C,25%,30,0分钟,50°C
20141023214840,关,关,关,40°C,25%,30,0分钟,50°C
20141023214842,关,关,关,40°C,25%,31,0分钟,50°C
20141023214856,关,关,关,40°C,25%,30,0分钟,50°C
20141023214858,关,关,关,40°C,25%,31,0分钟,50°C
20141023214908,关,关,关,40°C,25%,30,0分钟,50°C
20141023214912,关,关,关,39°C,25%,30,0分钟,50°C
20141023214916,关,关,关,39°C,25%,31,0分钟,50°C
20141023214921,关,关,关,39°C,25%,30,0分钟,50°C
20141023214923,关,关,关,39°C,25%,31,0分钟,50°C
20141023214925,关,关,关,39°C,25%,28,0分钟,50°C
20141023214933,关,关,关,39°C,25%,30,0分钟,50°C
20141023214937,关,关,关,39°C,25%,31,0分钟,50°C
20141023214946,关,关,关,39°C,25%,30,0分钟,50°C
20141023214947,关,关,关,39°C,25%,28,0分钟,50°C
20141023214949,关,关,关,39°C,25%,30,0分钟,50°C
20141023214951,关,关,关,39°C,25%,31,0分钟,50°C
20141023214957,关,关,关,38°C,25%,30,0分钟,50°C
20141023214959,关,关,关,38°C,25%,31,0分钟,50°C
20141023215001,关,关,关,38°C,25%,30,0分钟,50°C
20141023215015,关,关,关,38°C,25%,31,0分钟,50°C
20141023215017,关,关,关,37°C,25%,31,0分钟,50°C
20141023215023,关,关,关,37°C,25%,30,0分钟,50°C
20141023215025,关,关,关,37°C,25%,31,0分钟,50°C
20141023215027,关,关,关,37°C,25%,30,0分钟,50°C
20141023215029,关,关,关,37°C,25%,31,0分钟,50°C
20141023215045,关,关,关,37°C,25%,30,0分钟,50°C
20141023215047,关,关,关,37°C,25%,28,0分钟,50°C
20141023215055,关,关,关,37°C,25%,30,0分钟,50°C
20141023215057,关,关,关,37°C,25%,8,0分钟,50°C
20141023220132,关,关,关,35°C,25%,10,0分钟,50°C
20141023220134,关,关,关,35°C,25%,51,0分钟,50°C
20141023220135,关,关,关,34°C,25%,51,0分钟,50°C
20141023220138,关,关,关,34°C,25%,50,0分钟,50°C
20141023220140,关,关,关,34°C,25%,51,0分钟,50°C
20141023220142,关,关,关,34°C,25%,40,0分钟,50°C
20141023220144,关,关,关,34°C,25%,32,0分钟,50°C
20141023220146,关,关,关,34°C,25%,40,0分钟,50°C
20141023220150,关,关,关,34°C,25%,41,0分钟,50°C
20141023220152,关,关,关,34°C,25%,37,0分钟,50°C
20141023220154,关,关,关,34°C,25%,36,0分钟,50°C
20141023220158,关,关,关,34°C,25%,37,0分钟,50°C
20141023220200,关,关,关,34°C,25%,42,0分钟,50°C
20141023220202,关,关,关,34°C,25%,43,0分钟,50°C
20141023220208,关,关,关,34°C,25%,42,0分钟,50°C
20141023220210,关,关,关,34°C,25%,43,0分钟,50°C
20141023220220,关,关,关,34°C,25%,42,0分钟,50°C
20141023220222,关,关,关,34°C,25%,43,0分钟,50°C
20141023220224,关,关,关,34°C,25%,42,0分钟,50°C
20141023220226,关,关,关,34°C,25%,43,0分钟,50°C
20141023220244,关,关,关,34°C,25%,42,0分钟,50°C
20141023220246,关,关,关,34°C,25%,41,0分钟,50°C
20141023220300,关,关,关,34°C,25%,42,0分钟,50°C
20141023220304,关,关,关,34°C,0%,42,0分钟,50°C
20141023220306,关,关,关,33°C,0%,42,0分钟,50°C
20141023220310,关,关,关,33°C,0%,41,0分钟,50°C
20141023220318,关,关,关,33°C,0%,42,0分钟,50°C
20141023220329,关,关,关,33°C,0%,41,0分钟,50°C
20141023220331,关,关,关,33°C,0%,43,0分钟,50°C
20141023220337,关,关,关,33°C,0%,42,0分钟,50°C
20141023220339,关,关,关,33°C,0%,43,0分钟,50°C
20141023220341,关,关,关,33°C,0%,42,0分钟,50°C
20141023220343,关,关,关,32°C,0%,43,0分钟,50°C
20141023220347,关,关,关,32°C,0%,42,0分钟,50°C
20141023220352,关,关,关,32°C,0%,41,0分钟,50°C
20141023220357,关,关,关,32°C,0%,42,0分钟,50°C
20141023220359,关,关,关,32°C,0%,43,0分钟,50°C
20141023220401,关,关,关,32°C,0%,42,0分钟,50°C
20141023220403,关,关,关,32°C,0%,36,0分钟,50°C
20141023220405,关,关,关,32°C,0%,38,0分钟,50°C
20141023220409,关,关,关,32°C,0%,43,0分钟,50°C
20141023220411,关,关,关,32°C,0%,42,0分钟,50°C
20141023220413,关,关,关,31°C,0%,43,0分钟,50°C
20141023220415,关,关,关,31°C,0%,42,0分钟,50°C
20141023220419,关,关,关,31°C,0%,43,0分钟,50°C
20141023220421,关,关,关,31°C,0%,41,0分钟,50°C
20141023220423,关,关,关,31°C,0%,43,0分钟,50°C
20141023220427,关,关,关,31°C,0%,42,0分钟,50°C
20141023220600,关,关,关,30°C,0%,42,0分钟,50°C
20141023220602,关,关,关,30°C,0%,43,0分钟,50°C
20141023220608,关,关,关,30°C,0%,38,0分钟,50°C
20141023220613,关,关,关,30°C,0%,37,0分钟,50°C
20141023220614,关,关,关,30°C,0%,36,0分钟,50°C
20141023220616,关,关,关,30°C,0%,37,0分钟,50°C
20141023220618,关,关,关,30°C,0%,41,0分钟,50°C
20141023220620,关,关,关,30°C,0%,40,0分钟,50°C
20141023220622,关,关,关,30°C,0%,41,0分钟,50°C
20141023220626,关,关,关,30°C,0%,40,0分钟,50°C
20141023220630,关,关,关,30°C,0%,41,0分钟,50°C
20141023220632,关,关,关,30°C,0%,40,0分钟,50°C
20141023220636,关,关,关,30°C,0%,46,0分钟,50°C
20141023220640,关,关,关,30°C,0%,45,0分钟,50°C
20141023220642,关,关,关,30°C,0%,46,0分钟,50°C
20141023220646,关,关,关,30°C,0%,45,0分钟,50°C
20141023220649,关,关,关,30°C,0%,46,0分钟,50°C
20141023220653,关,关,关,30°C,0%,45,0分钟,50°C
20141023220701,关,关,关,30°C,0%,46,0分钟,50°C
20141023220703,关,关,关,29°C,0%,46,0分钟,50°C
20141023220727,关,关,关,29°C,0%,45,0分钟,50°C
20141023220729,关,关,关,29°C,0%,46,0分钟,50°C
20141023220731,关,关,关,29°C,0%,45,0分钟,50°C
20141023220737,关,关,关,29°C,0%,46,0分钟,50°C
20141023220745,关,关,关,29°C,0%,45,0分钟,50°C
20141023220747,关,关,关,29°C,0%,46,0分钟,50°C
20141023220751,关,关,关,29°C,0%,45,0分钟,50°C
20141023220753,关,关,关,29°C,0%,43,0分钟,50°C
20141023220759,关,关,关,29°C,0%,52,0分钟,50°C
20141023220801,关,关,关,29°C,0%,51,0分钟,50°C
20141023220803,关,关,关,29°C,0%,52,0分钟,50°C
20141023220807,关,关,关,29°C,0%,51,0分钟,50°C
20141023220809,关,关,关,29°C,0%,47,0分钟,50°C
20141023220811,关,关,关,29°C,0%,48,0分钟,50°C
20141023220813,关,关,关,29°C,0%,55,0分钟,50°C
20141023220815,关,关,关,29°C,0%,52,0分钟,50°C
20141023220817,关,关,关,29°C,0%,53,0分钟,50°C
20141023220821,关,关,关,29°C,0%,52,0分钟,50°C
20141023220823,关,关,关,29°C,0%,51,0分钟,50°C
